Community Board Complaints  6/1/2015 to 6/30/2015,,,,,,,,,,,
Complaint Number,Status,Date Entered,Address,Bin,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date
2212344,ACTIVE,6/5/2015,524 EAST 236 STREET,2019796,212,,86,BRONX,,,
2212345,ACTIVE,6/5/2015,433 EAST 239 STREET,2019712,212,,86,BRONX,,,
2212346,ACTIVE,6/5/2015,524 EAST 236 STREET,2019796,212,,4,ERT,,,
2212347,ACTIVE,6/5/2015,1925 WILLIAMSBRIDGE ROAD,2048552,211,,74,BRONX,,,
2212348,ACTIVE,6/5/2015,34 EAST 208 STREET,2092528,207,,45,BRONX,,,
2212349,ACTIVE,6/5/2015,2393 WALTON AVENUE,2014113,205,,5,BRONX,,,
2212350,CLOSED,6/5/2015,210 EAST 166 STREET,2002737,204,,4F,SCFLD,6/10/2015,L2,6/10/2015
2212351,ACTIVE,6/5/2015,780 CONCOURSE VILLAGE WEST,2002455,204,,63,ELEVR,,,
2212352,ACTIVE,6/5/2015,711 EAST 230 STREET,2063646,212,,74,BRONX,,,
2212354,CLOSED,6/5/2015,1209 WHITEPLAINS ROAD,2024879,209,,4B,SEP,6/9/2015,I2,6/8/2015
2212355,CLOSED,6/5/2015,3355 EAST TREMONT AVENUE,2072682,210,,4B,SEP,6/9/2015,I2,6/8/2015
2212356,CLOSED,6/5/2015,3355 EAST TREMONT AVENUE,2072682,210,,4B,SEP,6/9/2015,I2,6/8/2015
2212357,CLOSED,6/5/2015,3101 WESTCHESTER AVENUE,2047390,210,,4B,SEP,6/29/2015,A9,6/24/2015
2212358,ACTIVE,6/5/2015,815 HUTCHINSON RIVER PARKWAY,2080263,210,IBZ,4B,SEP,,,
2212359,CLOSED,6/5/2015,1030 CAULDWELL AVENUE,2004501,203,,10,ERT,6/9/2015,I2,6/9/2015
2212360,ACTIVE,6/5/2015,682 ROSEWOOD STREET,2056222,212,,29,BRONX,,,
2212362,ACTIVE,6/5/2015,MELVILLE STREET,9999992,211,,29,BRONX,,,
2212363,CLOSED,6/5/2015,2893 SEDGEWICK AVENUE,2015579,208,,65,PLUMB,6/9/2015,I2,6/9/2015
2212364,ACTIVE,6/5/2015,1405 COLLEGE AVENUE,2007304,204,,63,ELEVR,,,
2212365,ACTIVE,6/5/2015,1405 COLLEGE AVENUE,2007304,204,,63,ELEVR,,,
2212368,CLOSED,6/5/2015,808 ADEE AVENUE,2054898,211,,37,ERT,6/11/2015,A8,6/11/2015
2212369,CLOSED,6/5/2015,3231 BAYCHESTER AVENUE,2065389,212,,45,BRONX,6/9/2015,Y3,6/9/2015
2212370,ACTIVE,6/5/2015,4049 EDSON AVENUE,2067477,212,,45,BRONX,,,
2212371,CLOSED,6/6/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212372,CLOSED,6/6/2015,1892 MORRIS AVENUE,2007622,205,,63,ELEVR,6/25/2015,A8,6/24/2015
2212373,ACTIVE,6/6/2015,1390 PROSPECT AVENUE,2010391,203,,5,BRONX,,,
2212374,ACTIVE,6/6/2015,EAST TREMONT AVENUE,9999992,2,,55,BRONX,,,
2212378,CLOSED,6/6/2015,63 EAST 233 STREET,2018800,212,,30,ERT,6/8/2015,I1,6/8/2015
2212379,ACTIVE,6/6/2015,69 FEATHERBED LANE,2008806,205,,5,BRONX,,,
2212380,ACTIVE,6/6/2015,3273 PARKSIDE PLACE,2018590,207,,63,ELEVR,,,
2212381,CLOSED,6/6/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212383,ACTIVE,6/6/2015,2538 VALENTINE AVENUE,2013617,207,,63,ELEVR,,,
2212385,ACTIVE,6/6/2015,922 BRONX PARK SOUTH,2013238,206,,80,ELEVR,,,
2212387,ACTIVE,6/6/2015,1052 EAST 211 STREET,2090165,212,,31,BRONX,,,
2212388,ACTIVE,6/7/2015,1133 MORRISON AVENUE,2024010,209,,74,BRONX,,,
2212389,ACTIVE,6/7/2015,691 CO OP CITY BOULEVARD,2118946,210,,94,PLUMB,6/9/2015,D2,6/9/2015
2212390,ACTIVE,6/7/2015,2433 MORRIS AVENUE,2014034,205,,45,BRONX,,,
2212392,ACTIVE,6/7/2015,454 EAST 134 STREET,2000166,201,,45,BRONX,,,
2212393,CLOSED,6/7/2015,1215 ROSEDALE AVENUE,2024597,209,,4,ERT,6/12/2015,I2,6/12/2015
2212394,ACTIVE,6/7/2015,2733 CRESTON AVENUE,2017561,207,,83,BRONX,,,
2212396,ACTIVE,6/7/2015,140 CARVER LOOP,2096806,210,,63,ELEVR,,,
2212397,ACTIVE,6/7/2015,OGDEN AVENUE,9999992,204,,54,BRONX,,,
2212398,ACTIVE,6/7/2015,OGDEN AVENUE,9999992,204,,85,BRONX,,,
2212399,ACTIVE,6/7/2015,1853 ANTHONY AVENUE,2007566,205,,63,ELEVR,,,
2212402,CLOSED,6/7/2015,VAN CORTLANDT AVENUE EAST,9999992,207,,3,ERT,6/8/2015,K1,6/8/2015
2212403,CLOSED,6/7/2015,1323 INWOOD AVENUE,2008416,204,,74,BRONX,6/9/2015,F6,6/9/2015
2212405,ACTIVE,6/7/2015,1153 COMMONWEALTH AVENUE,2116272,209,,45,BRONX,,,
2212406,ACTIVE,6/7/2015,1664 MACOMBS ROAD,2008452,205,,58,BOILR,,,
2212407,CLOSED,6/7/2015,2430 ST RAYMOND AVENUE,2041816,210,,37,ERT,6/11/2015,I2,6/11/2015
2212408,CLOSED,6/7/2015,222 EAST 202 STREET,2017233,207,,65,PLUMB,6/15/2015,C2,6/15/2015
2212409,ACTIVE,6/7/2015,140 CARVER LOOP,2096806,210,,63,ELEVR,,,
2212410,ACTIVE,6/7/2015,2160 BOLTON STREET,2049387,211,,63,ELEVR,,,
2212412,CLOSED,6/7/2015,449 HOWE AVENUE,2021129,209,,30,ERT,6/11/2015,A8,6/11/2015
2212413,CLOSED,6/7/2015,751 GERARD AVENUE,2002971,204,,45,SPOPS,6/29/2015,I2,6/16/2015
2212414,ACTIVE,6/8/2015,2501 MORRIS AVENUE,2014131,207,,63,ELEVR,,,
2212415,ACTIVE,6/8/2015,3014 MATTHEWS AVENUE,2055704,212,,5,BRONX,,,
2212416,CLOSED,6/8/2015,65 EAST GUNHILL ROAD,2017816,207,,58,BOILR,6/8/2015,A8,6/8/2015
2212417,ACTIVE,6/8/2015,1530 SHERIDAN AVENUE,2007809,204,,63,ELEVR,,,
2212418,ACTIVE,6/8/2015,2771 RESERVOIR AVENUE,2015305,208,,45,BRONX,,,
2212419,CLOSED,6/8/2015,1037 JAMES A POLITE AVENUE,2113746,202,,37,ERT,6/8/2015,I1,6/8/2015
2212420,ACTIVE,6/8/2015,17 VAN CORLEAR PLACE,1064624,208,,4,ERT,6/9/2015,D5,6/9/2015
2212421,CLOSED,6/8/2015,3527 EASTCHESTER ROAD,2060212,212,,2E,BEST,6/8/2015,P6,6/8/2015
2212422,CLOSED,6/8/2015,17 VAN CORLEAR PLACE,1064624,208,,65,PLUMB,6/10/2015,C2,6/10/2015
2212423,CLOSED,6/8/2015,3527 EASTCHESTER ROAD,2060212,212,,2E,BEST,6/8/2015,P6,6/8/2015
2212424,ACTIVE,6/8/2015,2901 WHITE PLAINS ROAD,2054713,211,,5,BRONX,,,
2212425,ACTIVE,6/8/2015,3424 KINGSBRIDGE AVENUE,2083686,208,,5,BRONX,,,
2212426,ACTIVE,6/8/2015,250 EAST 176 STREET,2007537,205,,63,ELEVR,,,
2212427,ACTIVE,6/8/2015,207 HARDING PARK,2019880,209,,45,BRONX,,,
2212429,CLOSED,6/8/2015,5226 ARLINGTON AVENUE,2086227,208,,4B,SEP,6/10/2015,A9,6/9/2015
2212430,CLOSED,6/8/2015,327 EAST FORDHAM ROAD,2016774,207,,4B,SEP,6/10/2015,I2,6/9/2015
2212431,CLOSED,6/8/2015,2131 VYSE AVENUE,2013243,206,,4B,SEP,6/11/2015,I2,6/9/2015
2212432,CLOSED,6/8/2015,1201 WEBSTER AVENUE,2120159,204,,4B,SEP,6/12/2015,I2,6/11/2015
2212433,CLOSED,6/8/2015,1201 WEBSTER AVENUE,2120159,204,,4B,SEP,6/12/2015,I2,6/11/2015
2212434,CLOSED,6/8/2015,1201 WEBSTER AVENUE,2120159,204,,4B,SEP,6/12/2015,I2,6/11/2015
2212435,ACTIVE,6/8/2015,4212 MONTICELLO AVENUE,2069552,212,,45,BRONX,,,
2212436,ACTIVE,6/8/2015,105 EAST CLARKE PLACE,2008050,204,,66,PLUMB,,,
2212437,ACTIVE,6/8/2015,2014 BLACKROCK AVENUE,2025992,209,,5,BRONX,,,
2212438,CLOSED,6/8/2015,2243 HOLLERS AVENUE,2072540,212,,37,ERT,6/9/2015,C2,6/9/2015
2212439,ACTIVE,6/8/2015,331 EAST 132 STREET,2117112,201,,63,ELEVR,,,
2212440,CLOSED,6/8/2015,433 EAST 239 STREET,2019712,212,,14,EXCAV,6/12/2015,H3,6/9/2015
2212441,ACTIVE,6/8/2015,2014 BLACKROCK AVENUE,2025992,209,,74,BRONX,,,
2212442,CLOSED,6/8/2015,1511 B COMMONWEALTH AVENUE,2114756,209,,50,SPOPS,6/9/2015,A8,6/9/2015
2212446,CLOSED,6/8/2015,1711 LACOMBE AVENUE,2092605,209,,91,ERT,6/15/2015,A8,6/12/2015
2212447,CLOSED,6/8/2015,647 MORRIS PARK AVENUE,2043383,211,,4K,BEST,6/17/2015,L2,6/17/2015
2212448,CLOSED,6/8/2015,50 MARINE STREET,2081792,210,,59,ELCTR,6/11/2015,I2,6/10/2015
2212449,CLOSED,6/8/2015,1530 SHERIDAN AVENUE,2007809,204,,58,BOILR,6/15/2015,I2,6/15/2015
2212451,ACTIVE,6/8/2015,3232 DECATUR AVENUE,2018561,207,,5,BRONX,,,
2212452,ACTIVE,6/8/2015,2017 CICERO AVENUE,2087793,209,,15,BRONX,,,
2212454,CLOSED,6/8/2015,1212 GRAND CONCOURSE,2002764,204,,63,ELEVR,6/24/2015,A8,6/11/2015
2212455,CLOSED,6/8/2015,228 BETTS AVENUE,2103491,209,,37,ERT,6/12/2015,C4,6/12/2015
2212458,ACTIVE,6/8/2015,2124 ST PAUL AVENUE,2047811,210,,29,BRONX,,,
2212460,ACTIVE,6/8/2015,2700 3 AVENUE,2000657,201,,45,BRONX,,,
2212461,ACTIVE,6/9/2015,2153 VALENTINE AVENUE,2013550,205,,73,BRONX,,,
2212462,ACTIVE,6/9/2015,2471 GUNTHER AVENUE,2103700,211,,45,BRONX,,,
2212463,CLOSED,6/9/2015,433 EAST 239 STREET,2019712,212,,3,BRONX,6/10/2015,I2,6/10/2015
2212464,CLOSED,6/9/2015,260 EAST 161 STREET,2002457,204,,23,SCFLD,6/10/2015,I2,6/10/2015
2212465,CLOSED,6/9/2015,3631 JOHNSON AVENUE,2084203,208,,30,ERT,6/10/2015,A8,6/10/2015
2212466,CLOSED,6/9/2015,260 EAST 161 STREET,2002457,204,,23,SCFLD,6/10/2015,H1,6/10/2015
2212467,ACTIVE,6/9/2015,716 PENFIELD STREET,2071872,212,,66,PLUMB,,,
2212468,CLOSED,6/9/2015,1960 BENEDICT AVENUE,2028883,209,,91,SCFLD,6/23/2015,L2,6/19/2015
2212469,ACTIVE,6/9/2015,1879 CLINTON AVENUE,2009961,206,,63,ELEVR,,,
2212470,CLOSED,6/9/2015,2714 WALLACE AVENUE,2053703,211,,2B,BRONX,6/10/2015,I2,6/10/2015
2212471,ACTIVE,6/9/2015,674 SAINT ANNS AVENUE,2004323,201,,2G,SPOPS,,,
2212472,ACTIVE,6/9/2015,193 EAST 205 STREET,2017385,207,,45,BRONX,,,
2212474,ACTIVE,6/9/2015,329 LELAND AVENUE,2020407,209,,15,BRONX,,,
2212475,ACTIVE,6/9/2015,2001 GRAND CONCOURSE,2007698,205,,45,BRONX,6/29/2015,C1,6/29/2015
2212476,ACTIVE,6/9/2015,2846 BRIGGS AVENUE,2016897,207,,29,BRONX,6/17/2015,C3,6/13/2015
2212477,ACTIVE,6/9/2015,416 EAST 174 STREET,2009423,203,IBZ,45,BRONX,6/26/2015,C3,6/25/2015
2212478,ACTIVE,6/9/2015,780 SAINT ANNS AVENUE,2117695,201,,63,ELEVR,,,
2212480,ACTIVE,6/9/2015,2006 EAST 177 STREET,2098541,209,,31,BRONX,,,
2212481,ACTIVE,6/9/2015,2545 GRAND CONCOURSE,2013823,207,,45,SPOPS,6/23/2015,C1,6/17/2015
2212482,ACTIVE,6/9/2015,52 ADRIAN AVENUE,1064604,208,,5,BRONX,,,
2212484,CLOSED,6/9/2015,1795 CLINTON AVENUE,2009923,206,,37,ERT,6/10/2015,I2,6/10/2015
2212485,ACTIVE,6/9/2015,674 ST ANN'S AVENUE,2004323,201,,55,BRONX,,,
2212486,CLOSED,6/9/2015,1158 ELDER AVENUE,2023860,209,,30,ERT,6/9/2015,A8,6/9/2015
2212487,CLOSED,6/9/2015,1160 ELDER AVENUE,2023861,209,,30,ERT,6/9/2015,A8,6/9/2015
2212488,CLOSED,6/9/2015,1164 ELDER AVENUE,2023863,209,,30,ERT,6/9/2015,A8,6/9/2015
2212490,ACTIVE,6/9/2015,1653 YATES AVENUE,2045065,211,,45,BRONX,,,
2212491,ACTIVE,6/9/2015,334 THIERIOT AVENUE,2020379,209,,5,BRONX,,,
2212492,ACTIVE,6/9/2015,2320 CRESTON AVENUE,2013776,205,,45,BRONX,,,
2212493,CLOSED,6/9/2015,400 WALNUT AVENUE,2004053,201,IBZ,4B,SEP,6/11/2015,I2,6/10/2015
2212494,ACTIVE,6/9/2015,415 CLAREMONT PARKWAY,2009418,203,,63,ELEVR,,,
2212495,ACTIVE,6/9/2015,2501 LACONIA AVENUE,2051852,211,,5,BRONX,,,
2212496,CLOSED,6/9/2015,3231 BAYCHESTER AVENUE,2065389,212,,1Z,EXEC,6/12/2015,I2,6/10/2015
2212497,CLOSED,6/9/2015,2309 PEARSAL AVENUE,2050399,211,,35,BRONX,6/10/2015,F6,6/10/2015
2212498,CLOSED,6/9/2015,2309 PEARSAL AVENUE,2050399,211,,50,ERT,6/9/2015,I1,6/9/2015
2212499,ACTIVE,6/9/2015,2094 BOSTON ROAD,2013283,206,,63,ELEVR,,,
2212501,CLOSED,6/9/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212503,ACTIVE,6/9/2015,640 ADEE AVENUE,2101743,211,,63,ELEVR,,,
2212504,ACTIVE,6/9/2015,DECATUR AVENUE,9999992,2,,5,BRONX,,,
2212505,ACTIVE,6/9/2015,53 WEST 174 STREET,2008457,205,,5,BRONX,,,
2212506,CLOSED,6/9/2015,690 EAST 182 STREET,2012402,206,,45,SPOPS,6/23/2015,A8,6/12/2015
2212508,ACTIVE,6/9/2015,2236 GRAND CONCOURSE,2013718,205,,49,SPOPS,,,
2212509,ACTIVE,6/9/2015,1981 GILDERSLEEVE AVENUE,2020283,209,,45,BRONX,,,
2212510,ACTIVE,6/9/2015,1981 GILDERSLEEVE AVENUE,2020283,209,,74,BRONX,,,
2212512,ACTIVE,6/10/2015,2205 CRESTON AVENUE,2013857,205,,63,ELEVR,,,
2212513,CLOSED,6/10/2015,2124 SAINT PAUL AVENUE,2047811,210,,59,ELCTR,6/23/2015,C2,6/22/2015
2212514,ACTIVE,6/10/2015,140 CARVER LOOP,2096806,210,,63,ELEVR,,,
2212515,CLOSED,6/10/2015,815 EAST 152 STREET,2091989,201,,23,SCFLD,6/10/2015,I2,6/10/2015
2212516,ACTIVE,6/10/2015,2271 CRESTON AVENUE,2013869,205,,29,BRONX,,,
2212517,CLOSED,6/10/2015,142 VAN CORTLANDT PARK SOUTH,2016186,208,,30,ERT,6/12/2015,C2,6/12/2015
2212519,ACTIVE,6/10/2015,875 MORRISON AVENUE,2092726,209,,63,ELEVR,,,
2212520,ACTIVE,6/10/2015,942 EAST 178 STREET,2099967,206,,35,BRONX,,,
2212521,CLOSED,6/10/2015,1776 BOSTON ROAD,2119255,203,,91,BRONX,6/11/2015,I2,6/11/2015
2212522,ACTIVE,6/10/2015,3535 ROCHAMBEAU AVENUE,2017831,207,,63,ELEVR,,,
2212523,ACTIVE,6/10/2015,232 EAST 198 STREET,2017051,207,,5,BRONX,,,
2212525,ACTIVE,6/10/2015,4157 BOSTON ROAD,2066560,212,,55,BRONX,,,
2212526,ACTIVE,6/10/2015,271 EAST KINGSBDGE ROAD,2016817,207,,45,BRONX,,,
2212527,CLOSED,6/10/2015,100 EAST 210 STREET,2018066,207,,4B,SEP,6/12/2015,A9,6/11/2015
2212528,ACTIVE,6/10/2015,3133 VILLA AVENUE,2017661,207,,4B,SEP,6/17/2015,C1,6/11/2015
2212529,ACTIVE,6/10/2015,260 EAST 161 STREET,2002457,204,,4B,SEP,6/29/2015,C1,6/23/2015
2212530,CLOSED,6/10/2015,2100 BARTOW AVENUE,2103850,210,,4B,SEP,6/22/2015,I2,6/19/2015
2212531,CLOSED,6/10/2015,69 FEATHERBED LANE,2008806,205,,59,ELCTR,6/16/2015,A8,6/15/2015
2212532,CLOSED,6/10/2015,334 THIERIOT AVENUE,2020379,209,,59,ELCTR,6/23/2015,C2,6/22/2015
2212533,ACTIVE,6/10/2015,334 THIERIOT AVENUE,2020379,209,,66,PLUMB,,,
2212534,CLOSED,6/10/2015,2086 CRESTON AVENUE,2013745,205,,37,ERT,6/11/2015,Y3,6/11/2015
2212535,CLOSED,6/10/2015,1535 WALTON AVENUE,2008129,204,,5,EXCAV,6/12/2015,H1,6/10/2015
2212536,CLOSED,6/10/2015,1535 WALTON AVENUE,2008129,204,,14,EXCAV,6/12/2015,H1,6/10/2015
2212537,ACTIVE,6/10/2015,1801 WEEKS AVENUE,2007901,205,,45,BRONX,,,
2212538,ACTIVE,6/10/2015,2350 WEBSTER AVENUE,2115299,206,,73,BRONX,,,
2212539,CLOSED,6/10/2015,2795 3 AVENUE,2000842,201,,30,ERT,6/10/2015,A8,6/10/2015
2212540,CLOSED,6/10/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212541,ACTIVE,6/10/2015,1987 DAVIDSON AVENUE,2008636,205,,63,ELEVR,,,
2212542,ACTIVE,6/10/2015,156 WEST 231 STREET,2016134,208,,45,ERT,6/11/2015,D5,6/11/2015
2212543,CLOSED,6/10/2015,900 VINCENT AVENUE,2077758,210,,6,BRONX,6/17/2015,I2,6/11/2015
2212544,ACTIVE,6/10/2015,2355 WASHINGTON AVENUE,2115056,206,,29,BRONX,,,
2212545,ACTIVE,6/10/2015,5938 LIEBIG AVENUE,2085268,208,,5,BRONX,,,
2212546,CLOSED,6/10/2015,66 EAST TREMONT AVENUE,2808203,205,,5,BRONX,6/30/2015,I2,6/29/2015
2212547,CLOSED,6/10/2015,1535 WALTON AVENUE,2008129,204,,5,BRONX,6/23/2015,I2,6/22/2015
2212548,CLOSED,6/10/2015,1535 WALTON AVENUE,2008129,204,,14,EXCAV,6/12/2015,L3,6/11/2015
2212550,CLOSED,6/10/2015,WEST  192 STREET,9999992,207,,3,ERT,6/11/2015,K1,6/10/2015
2212551,ACTIVE,6/10/2015,278 ROBINSON AVENUE,2101529,210,,54,BRONX,,,
2212553,ACTIVE,6/10/2015,1166 EAST 215 STREET,2059863,212,,5,BRONX,,,
2212554,CLOSED,6/10/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212556,ACTIVE,6/10/2015,451 EAST 144 STREET,2099421,201,,45,BRONX,,,
2212557,ACTIVE,6/10/2015,606 KING AVENUE,2082887,210,,15,BRONX,,,
2212558,CLOSED,6/10/2015,929 LOGAN AVENUE,9999992,210,,3,ERT,6/11/2015,K2,6/11/2015
2212559,CLOSED,6/10/2015,939 LOGAN AVENUE,2076594,210,,23,SCFLD,6/12/2015,L1,6/12/2015
2212560,ACTIVE,6/10/2015,2150 CRESTON AVENUE,2013753,205,,63,ELEVR,,,
2212563,ACTIVE,6/10/2015,387 SOUTHERN BOULEVARD,2097118,201,IBZ,73,ERT,,,
2212564,CLOSED,6/10/2015,606 KING AVENUE,2082887,210,,29,BRONX,6/17/2015,A8,6/17/2015
2212565,ACTIVE,6/10/2015,411 EAST 140 STREET,2000357,201,,29,BRONX,,,
2212566,ACTIVE,6/11/2015,769 EAST 218 STREET,2058032,212,,45,BRONX,,,
2212568,CLOSED,6/11/2015,3458 BAILEY AVENUE,2015977,208,,5A,BRONX,6/12/2015,I2,6/11/2015
2212569,ACTIVE,6/11/2015,3458 BAILEY AVENUE,2015977,208,,5A,BRONX,6/12/2015,C1,6/11/2015
2212570,CLOSED,6/11/2015,3971 GOUVERNEUR AVENUE,2015483,208,,37,ERT,6/12/2015,A8,6/12/2015
2212571,ACTIVE,6/11/2015,3120 WILKINSON AVENUE,2047443,210,,63,ELEVR,,,
2212572,ACTIVE,6/11/2015,2323 POWELL AVENUE,2027044,209,,15,BRONX,,,
2212573,CLOSED,6/11/2015,ONE PLAZA ST,9999992,2,,16,BRONX,6/23/2015,K1,6/17/2015
2212574,CLOSED,6/11/2015,1050 REV JAMES POLITE AVENUE,2005253,202,,73,BRONX,6/12/2015,A8,6/9/2015
2212575,ACTIVE,6/11/2015,15 FORDHAM STREET,2082222,210,,15,BRONX,,,
2212576,ACTIVE,6/11/2015,1066 WHITE PLAINS ROAD,2023677,209,,45,BRONX,,,
2212577,ACTIVE,6/11/2015,1600 STILLWELL AVENUE,2047114,211,,5A,BRONX,,,
2212578,ACTIVE,6/11/2015,1600 STILLWELL AVENUE,2047114,211,,5A,BRONX,,,
2212579,CLOSED,6/11/2015,2874 GRAND CONCOURSE,2017173,207,,45,SPOPS,6/17/2015,Y3,6/17/2015
2212580,ACTIVE,6/11/2015,2029 DALY AVENUE,2013126,206,,5,BRONX,,,
2212581,CLOSED,6/11/2015,2084 CRESTON AVENUE,2013745,205,,1Z,EXEC,6/19/2015,I2,6/12/2015
2212583,CLOSED,6/11/2015,1770 MAHAN AVENUE,2046289,210,,10,SCFLD,6/12/2015,I2,6/12/2015
2212584,ACTIVE,6/11/2015,111 EAST 179 STREET,2007676,205,,45,BRONX,,,
2212586,ACTIVE,6/11/2015,140 CARVER LOOP,2096806,210,,80,ELEVR,,,
2212587,ACTIVE,6/11/2015,2205 CRESTON AVENUE,2013857,205,,80,ELEVR,,,
2212588,ACTIVE,6/11/2015,1547 COMMONWEALTH AVENUE,2028531,209,,5,BRONX,,,
2212589,ACTIVE,6/11/2015,271 EAST CAMBRIDGE AVENUE,9999992,2,,45,BRONX,,,
2212590,CLOSED,6/11/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212593,CLOSED,6/11/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212595,ACTIVE,6/11/2015,1012 HOLLYWOOD AVENUE,2076507,210,,29,BRONX,,,
2212596,ACTIVE,6/11/2015,700 LYDIG AVENUE,2048789,211,,31,BRONX,,,
2212597,CLOSED,6/11/2015,822 HOLLYWOOD AVENUE,2076810,210,,2E,BEST,6/11/2015,P6,6/11/2015
2212598,ACTIVE,6/11/2015,3074 ROBERTS AVENUE,9999992,210,,63,ELEVR,,,
2212599,CLOSED,6/11/2015,822 FRONT HOLLYWOOD AVENUE,2121894,210,,2E,BEST,6/11/2015,P6,6/11/2015
2212600,CLOSED,6/11/2015,1135 UNIVERSITY AVENUE,2095218,204,,59,ELCTR,6/23/2015,C2,6/17/2015
2212601,CLOSED,6/11/2015,4030 WHITE PLAINS ROAD,2063522,212,,37,ERT,6/12/2015,I2,6/12/2015
2212602,ACTIVE,6/11/2015,605 HOLLYWOOD AVENUE,2077127,210,,45,BRONX,,,
2212603,ACTIVE,6/11/2015,3062 DECATUR AVENUE,2017883,207,,45,BRONX,,,
2212604,ACTIVE,6/11/2015,335 FORDHAM PLACE,2082707,210,,35,BRONX,,,
2212606,CLOSED,6/11/2015,1131 OGDEN AVENUE,2088158,204,,63,ELEVR,6/30/2015,H1,6/24/2015
2212607,ACTIVE,6/11/2015,3320 FISH AVENUE,2060716,212,,5,BRONX,,,
2212608,CLOSED,6/11/2015,2734 JEROME AVENUE,2017487,207,,65,PLUMB,6/12/2015,I2,6/12/2015
2212609,ACTIVE,6/11/2015,560 BROOK AVENUE,2000133,201,,63,ELEVR,,,
2212610,ACTIVE,6/11/2015,4736 BRONX BOULEVARD,2071653,212,,45,BRONX,,,
2212612,ACTIVE,6/11/2015,1665 NELSON AVENUE,2008867,205,,45,BRONX,,,
2212613,ACTIVE,6/11/2015,1609 EAST 172 STREET,2027497,209,,35,BRONX,,,
2212614,CLOSED,6/11/2015,136 ALEXANDER AVENUE,2124647,201,,1E,SCFLD,6/15/2015,I2,6/12/2015
2212615,ACTIVE,6/11/2015,4069 ELY AVENUE,2067327,212,,45,BRONX,,,
2212616,ACTIVE,6/11/2015,1854 HONE AVENUE,2045560,211,,35,BRONX,,,
2212617,CLOSED,6/11/2015,2269 HAMPTON PLACE,9999992,2,,4,ERT,6/12/2015,K1,6/12/2015
2212618,ACTIVE,6/11/2015,2109 GARRETT PLACE,9999992,212,,55,BRONX,,,
2212619,ACTIVE,6/12/2015,4073 HILL AVENUE,2067786,212,,45,BRONX,,,
2212620,CLOSED,6/12/2015,3070 ROBERTS AVENUE,2046146,210,,37,ERT,6/12/2015,I2,6/12/2015
2212621,ACTIVE,6/12/2015,1590 UNDERCLIFF AVENUE,2092064,205,,63,ELEVR,,,
2212622,ACTIVE,6/12/2015,328 BEEKMAN AVENUE,2003659,201,,63,ELEVR,,,
2212623,ACTIVE,6/12/2015,576 SOUTHERN BOULEVARD,2004124,202,,55,BRONX,,,
2212624,CLOSED,6/12/2015,709 FAIRMOUNT PLACE,2009965,206,,30,ERT,6/15/2015,I2,6/15/2015
2212625,CLOSED,6/12/2015,709 FAIRMOUNT PLACE,2009965,206,,45,SPOPS,6/23/2015,Y3,6/17/2015
2212626,ACTIVE,6/12/2015,1232 ARNOW AVENUE,2054221,211,,74,BRONX,,,
2212627,ACTIVE,6/12/2015,1985 PROSPECT AVENUE,2100728,206,,45,BRONX,,,
2212628,ACTIVE,6/12/2015,1230 ARNOW AVENUE,2054220,211,,49,SPOPS,,,
2212629,ACTIVE,6/12/2015,2600 CRESTON AVENUE,2013828,207,,86,BRONX,,,
2212630,CLOSED,6/12/2015,2600 CRESTON AVENUE,2013828,207,,65,PLUMB,6/12/2015,I2,6/12/2015
2212631,ACTIVE,6/12/2015,1500 GRAND CONCOURSE,2007849,204,,63,ELEVR,,,
2212634,ACTIVE,6/12/2015,53 WEST 174 STREET,2008457,205,,5,BRONX,,,
2212635,ACTIVE,6/12/2015,462 EAST 134 STREET,2000170,201,,66,PLUMB,,,
2212636,ACTIVE,6/12/2015,2341 POWELL AVENUE,2027040,209,,15,BRONX,,,
2212637,ACTIVE,6/12/2015,2882 HEATH AVENUE,2015718,208,,45,BRONX,,,
2212638,ACTIVE,6/12/2015,319 EAST 197 STREET,2016730,207,,5,BRONX,,,
2212639,CLOSED,6/12/2015,590 WALES AVENUE,2004667,201,,30,ERT,6/12/2015,Y3,6/12/2015
2212640,ACTIVE,6/12/2015,3705 PRATT AVENUE,2126057,212,,29,BRONX,,,
2212641,ACTIVE,6/12/2015,2875 BAINBRIDGE AVENUE,2016920,207,,63,ELEVR,,,
2212642,CLOSED,6/12/2015,81 WEST 172 STREET,2817694,204,,55,BRONX,6/14/2015,H1,6/14/2015
2212644,CLOSED,6/12/2015,2829 DUDLEY AVENUE,9999992,210,,37,ERT,6/12/2015,K1,6/12/2015
