locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
632982,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",,30735000,MONTGOMERY ST: MARKET ST \ NEW MONTGOMERY ST intersection,2 MONTGOMERY ST,0291007,0291,007,15MFF-0093,APPROVED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6012142.899,2115481.242,37.7893919761027,-122.401824747121,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0093&ExportPDF=1&Filename=15MFF-0093_schedule.pdf,,03/18/2015 11:50:34 AM,Mar 17 2015  3:32PM,1,03/15/2016 12:00:00 AM,"(37.7893919898744, -122.401824747111)"
632079,Scotch Bonnet,Truck,9297000,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),25 MONTGOMERY ST,0292001A,0292,001A,15MFF-0073,REQUESTED,Cupcakes,6011957.923,2115519.499,37.7894866961278,-122.402467438004,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0073&ExportPDF=1&Filename=15MFF-0073_schedule.pdf,,,Mar 16 2015 12:33PM,0,03/15/2016 12:00:00 AM,"(37.7894867098994, -122.402467437995)"
509482,Sun Rise Catering,Truck,9298000,MONTGOMERY ST: SUTTER ST to BUSH ST (100 - 199),180 MONTGOMERY ST,0289009,0289,009,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6012111.167,2115971.308,37.790735810536,-122.40196900168,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,,09/10/2014 03:57:43 PM,Jan  8 2014  3:11PM,1,03/15/2015 12:00:00 AM,"(37.7907358243064, -122.40196900167)"
646168,"Halal Cart, LLC",Push Cart,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),400 MONTGOMERY ST,0239009,0239,009,15MFF-0121,APPROVED,kebabs: halal gyro: grilled halal meat: refreshments,6011956.214,2116853.2,37.7931486269835,-122.402567175578,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0121&ExportPDF=1&Filename=15MFF-0121_schedule.pdf,,04/17/2015 12:18:27 PM,Apr 17 2015 12:14PM,0,03/15/2016 12:00:00 AM,"(37.7931486407515, -122.402567175568)"
627432,Philz Coffee Truck,Truck,9306000,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,0195001,0195,001,15MFF-0038,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries,6011635.905,2117976.662,37.7962154965941,-122.403754558245,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0038&ExportPDF=1&Filename=15MFF-0038_schedule.pdf,,03/06/2015 12:48:54 PM,Mar  6 2015 10:05AM,0,03/15/2016 12:00:00 AM,"(37.7962155103592, -122.403754558235)"
639704,May Catering,Truck,9503000,NAPOLEON ST: SELBY ST to EVANS AVE \ TOLAND ST (1 - 98),Assessors Block 4347a/Lot004,4347a004,4347a,004,15MFF-0116,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013931.07958,2100313.06289,37.7478431533724,-122.394575214957,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0116&ExportPDF=1&Filename=15MFF-0116_schedule.pdf,,04/07/2015 02:40:48 PM,Apr  7 2015  2:31PM,1,03/15/2016 12:00:00 AM,"(37.7478431671843, -122.394575214947)"
632696,Park's Catering,Truck,9504000,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),250 NAPOLEON ST,4343021,4343,021,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012092.933,2099954.245,37.7467555544775,-122.400906270359,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,03/17/2015 07:45:54 AM,Mar 16 2015  2:51PM,1,03/15/2016 12:00:00 AM,"(37.7467555682904, -122.400906270349)"
632705,Park's Catering,Truck,9504000,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),190 NAPOLEON ST,4343004,4343,004,15MFF-0079,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012688.941,2100244.688,37.7475862762565,-122.398865700796,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0079&ExportPDF=1&Filename=15MFF-0079_schedule.pdf,,03/17/2015 07:45:54 AM,Mar 16 2015  2:51PM,1,03/15/2016 12:00:00 AM,"(37.7475862900686, -122.398865700786)"
639699,May Catering,Truck,9504000,NAPOLEON ST: EVANS AVE \ TOLAND ST to JERROLD AVE (25 - 299),180 NAPOLEON ST,4343004,4343,004,15MFF-0116,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012688.941,2100244.688,37.7475862762565,-122.398865700796,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0116&ExportPDF=1&Filename=15MFF-0116_schedule.pdf,,04/07/2015 02:40:48 PM,Apr  7 2015  2:31PM,1,03/15/2016 12:00:00 AM,"(37.7475862900686, -122.398865700786)"
629897,John's Catering #5,Truck,9506000,NATOMA ST: FREMONT ST to 01ST ST (1 - 19),400 HOWARD ST,3720008,3720,008,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),6013858.05956,2115347.09492,37.7891192076677,-122.395881039335,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,,03/12/2015 01:35:52 PM,Mar 11 2015  1:56PM,1,03/15/2016 12:00:00 AM,"(37.7891192214396, -122.395881039325)"
